time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.5059049189e-08,8.8408924777e-08,10.00207472,6.28274542627,6.28311485369,0.0,4.82736332371e-06,-1.16529489081e-05,0.0691550257247,-0.0290047298948,-0.00363284518158,0.0,427.5140705841177,427.20450146121567,427.8797784053418,425.40385814909774
0.12000000000000001,2.58964528458e-06,-1.81492119069e-05,10.0119023982,6.28122343521,6.2823883638,0.0,0.000121562201759,-0.000783236922063,0.258409566918,-0.0189358437333,-0.0402016983487,0.0,466.42702591657496,463.56281374776006,463.34900544636565,464.1396663545086
0.18,3.59229824527e-05,-0.000110341943964,10.0306889109,6.28035840765,6.27997786178,0.0,0.00123883691827,-0.00239194603296,0.367777360815,-0.00663993567619,-0.0401217717852,0.0,439.8557582903787,439.8615265475714,439.5317055366853,440.54948522571704
0.23999999999999996,0.000186665821427,-0.000314517004191,10.0559959926,6.27990485695,6.27746504437,0.0,0.0040393727112,-0.0044576606181,0.475751496606,-0.00946417871168,-0.0456510597044,0.0,439.33796599603386,438.878374418015,440.17982396819065,439.9461941020264
0.3,0.000557933903514,-0.000652098529075,10.0875677767,6.27913773898,6.27453057398,0.0,0.00862468988651,-0.00686204421967,0.576593097721,-0.0204293011694,-0.056377766576,0.0,438.43105948257715,437.537510771494,437.3260066242526,436.41196414101756
0.36000000000000004,0.00126243817103,-0.00114965080875,10.1246575016,6.27739679733,6.27116982678,0.0,0.0151938510157,-0.00985880597335,0.659682343522,-0.0578570591188,-0.0552919479301,0.0,431.41790695624763,431.50733019561306,433.85892448817594,430.7049241471124
0.4200000000000001,0.00245386973587,-0.00188401614264,10.1687745695,6.27370341205,6.26826916727,0.0,0.0248569891114,-0.0150105252309,0.810783882504,-0.0702263581908,-0.0371853335583,0.0,451.7492416628439,453.20522272787014,454.65437003078017,453.65971617156026
0.48000000000000015,0.00427397607213,-0.00300516427604,10.2212636748,6.26962267624,6.26670702663,0.0,0.0360064480908,-0.0227998985524,0.938748147853,-0.0639178811007,-0.00992977762345,0.0,445.7286089444444,447.9499493001089,445.72520476985676,446.2369180046132
0.5400000000000001,0.00679269718437,-0.00468208256332,10.2815829905,6.26592971813,6.26676042737,0.0,0.0479716162885,-0.0334976707834,1.07177338959,-0.0571912553186,0.0166452554979,0.0,446.5593302579958,448.7216176945771,448.51689969156,449.06011903750834
0.6000000000000002,0.0100036117945,-0.0070584926235,10.3487124938,6.26236724155,6.2673505172,0.0,0.0589711472074,-0.0460676060081,1.16577965582,-0.0641418745864,-0.00946956823695,0.0,437.30269072872676,435.1221115688639,436.5327529879445,435.949864127476
0.6600000000000003,0.0138472940996,-0.0102348927771,10.4201549811,6.25867208647,6.26662052048,0.0,0.0692114071385,-0.0601676135198,1.21557521732,-0.0569118407028,-0.0181950213784,0.0,422.53047273570434,421.77775801961724,421.8043315238205,422.42522700064217
0.7200000000000003,0.0183636581255,-0.0143904616603,10.4971161679,6.25510486758,6.26519139187,0.0,0.0814626478754,-0.0787207283642,1.3496359095,-0.065092572623,-0.0385006120397,0.0,450.6511266365834,449.0068469768719,448.82520185951313,448.1583526227053
0.7800000000000004,0.0235923412586,-0.0196473236068,10.5789529227,6.25111091114,6.26312442356,0.0,0.0930251818076,-0.0968680330134,1.37820611148,-0.0696870365299,-0.0273794988858,0.0,414.5569481675765,415.53229373266703,416.36106826239654,415.955305779155
0.8400000000000004,0.0296510211201,-0.0262262724979,10.6674068128,6.24840632986,6.26133082978,0.0,0.109123605496,-0.12279466101,1.56999472482,-0.0180702400557,-0.0354644865118,0.0,466.64808162870537,466.0163504393238,465.95878156498645,469.9744203521966
0.9000000000000005,0.0367737447439,-0.0344996284771,10.7698416436,6.24775194044,6.25980664641,0.0,0.128517998773,-0.153077518634,1.84408705367,0.000536000449676,-0.0104831361096,0.0,489.53164538566045,491.3867203381679,492.0223059631789,493.3978817718068
0.9600000000000005,0.0450628820974,-0.0445571278077,10.8874464491,6.2477784375,6.25864352157,0.0,0.147869459309,-0.182155639638,2.07567685583,0.000252163033442,-0.0505947611708,0.0,482.6706648895627,479.6339967880381,479.36007240158995,479.33849441293665
1.0200000000000005,0.0544322165186,-0.056187209235,11.0141298405,6.24860252524,6.25530839495,0.0,0.164747025533,-0.205460408359,2.14696233545,0.0321963371385,-0.0681220344217,0.0,433.323924097562,431.84577516641144,430.3777199915581,433.07284724999033
